YEAR,WEEK,CASES
2009,1,67
2009,2,50
2009,3,46
2009,4,67
2009,5,60
2009,6,36
2009,7,43
2009,8,29
2009,9,52
2009,10,45
2009,11,42
2009,12,46
2009,13,53
2009,14,49
2009,15,52
2009,16,48
2009,17,57
2009,18,43
2009,19,37
2009,20,55
2009,21,55
2009,22,67
2009,23,78
2009,24,94
2009,25,90
2009,26,76
2009,27,73
2009,28,85
2009,29,30
2009,30,42
2009,31,75
2009,32,92
2009,33,75
2009,34,63
2009,35,56
2009,36,103
2009,37,81
2009,38,87
2009,39,72
2009,40,89
2009,41,62
2009,42,57
2009,43,74
2009,44,41
2009,45,12
2009,46,45
2009,47,57
2009,48,80
2009,49,76
2009,50,91
2009,51,85
2009,52,46
2010,1,96
2010,2,85
2010,3,63
2010,4,72
2010,5,76
2010,6,77
2010,7,58
2010,8,83
2010,9,62
2010,10,64
2010,11,48
2010,12,48
2010,13,44
2010,14,48
2010,15,29
2010,16,32
2010,17,49
2010,18,76
2010,19,88
2010,20,89
2010,21,107
2010,22,126
2010,23,151
2010,24,176
2010,25,253
2010,26,337
2010,27,345
2010,28,428
2010,29,435
2010,30,429
2010,31,355
2010,32,357
2010,33,339
2010,34,263
2010,35,239
2010,36,205
2010,37,184
2010,38,182
2010,39,171
2010,40,113
2010,41,93
2010,42,88
2010,43,53
2010,44,64
2010,45,71
2010,46,32
2010,47,36
2010,48,25
2010,49,32
2010,50,29
2010,51,14
2010,52,15
2011,1,47
2011,2,38
2011,3,37
2011,4,44
2011,5,34
2011,6,43
2011,7,45
2011,8,32
2011,9,46
2011,10,45
2011,11,52
2011,12,41
2011,13,29
2011,14,44
2011,15,46
2011,16,50
2011,17,40
2011,18,51
2011,19,42
2011,20,43
2011,21,37
2011,22,48
2011,23,54
2011,24,58
2011,25,70
2011,26,61
2011,27,83
2011,28,113
2011,29,108
2011,30,117
2011,31,35
2011,32,100
2011,33,120
2011,34,98
2011,35,79
2011,36,128
2011,37,66
2011,38,60
2011,39,72
2011,40,78
2011,41,72
2011,42,87
2011,43,67
2011,44,69
2011,45,63
2011,46,72
2011,47,78
2011,48,56
2011,49,50
2011,50,66
2011,51,64
2011,52,50
2012,1,88
2012,2,84
2012,3,81
2012,4,88
2012,5,102
2012,6,83
2012,7,91
2012,8,98
2012,9,84
2012,10,95
2012,11,122
2012,12,84
2012,13,92
2012,14,105
2012,15,100
2012,16,117
2012,17,114
2012,18,129
2012,19,164
2012,20,175
2012,21,172
2012,22,186
2012,23,242
2012,24,236
2012,25,279
2012,26,246
2012,27,130
2012,28,233
2012,29,190
2012,30,270
2012,31,242
2012,32,194
2012,33,200
2012,34,144
2012,35,79
2012,36,92
2012,37,120
2012,38,133
2012,39,131
2012,40,150
2012,41,105
2012,42,102
2012,43,74
2012,44,79
2012,45,49
2012,46,85
2012,47,79
2012,48,79
2012,49,70
2012,50,85
